id_ff	title	ff_link	author	author_link	text
0	"Научи меня целоваться
            "	https://ficbook.net/readfic/5965010	_pinetree__	https://ficbook.net/authors/2278620	"На улице стоит жаркий летний день. Ричи откидывается на скамейке и зевает, разглядывая более мелких детей, бегающих по площадке. Идиллия, черт побери. Он достает из своего рюкзака контейнер с едой и открывает его, голодными глазами разглядывая такие аппетитные бутерброды с ягодным джемом. Он аккуратно достает один и делает укус, издавая удовлетворенный стон.
— Кхм, — Вежливый кашель из-за спины заставляет подпрыгнуть от испуга, а затем еле слышно выматериться, стараясь не выронить изо рта кусочки бутерброда, — Прости, что прервал.
Эдди обходит лавочку и аккуратно садится, в руке сжимая ингалятор. После знакомства мальчишек Ричи часто таскает в рюкзаке всякие лекарства. Нет, обычно они не используются, но парнишка уверен, что когда-нибудь он спасет другу жизнь.
— Жаль, что ты не прервал момент, когда твоя мама и твой отец т…
— Достаточно, я понял, — Эдди говорит слишком резко, а затем поднимает глаза на усмехающегося друга. Он хмурится и закатывает глаза. — Я пришел эм… Ну… В общем, ты умеешь целоваться?
Ричи, кажется, даже давится бутербродом. Он непонимающе смотрит на сидящего напротив мальчишку, стараясь увидеть в его глазах смешок, но он серьезен как никогда. Прокашлявшись и отложив сэндвич обратно (еще и закрыв. вдруг этот Эдди просто его отвлекает чтоб забрать лакомый кусочек.) Тозиер кивает, не совсем понимая к чему клонит друг.
— А ты эм… можешь… научить меня? — Кажется, он краснеет. Да что там, они оба краснеют. Ричи поправляет очки, затем волосы, а затем и футболку, нервно кусая губы.
— Ну, наверное? Я слышал, что когда два парня целуются - это плохо, — он пожимает плечами, но не говорит ничего больше, ожидая ответа. Но парнишка напротив поступает так же, теребя в руках ингалятор, — Но когда нас вообще ебало, что думают другие? Пошли, нам надо отойти.
***
И Ричи берет Эдди за руку. И он даже забывает бутерброды там, на скамейке. Быстрым шагом они спешат к стоянке с велосипедами, а затем, нос к носу, в полном молчании, едут в сторону подходящего места. Скала. Свернув за угол, они бросают велики в кусты, а сами спешат добраться до скалы, пробираясь сквозь траву. Эдди трижды обжигается  о крапиву, поэтому они останавливаются чтоб Ричи успокоил друга, но серьезных повреждений не было.
Усевшись на камень они смотрят на водяную гладь, разглядывая небо, свое отражение, а затем Эдди поворачивается к другу, сжимая его руку в своей.
— Давай сделаем это?
И Ричи кивает.
Он подается слегка вперед и аккуратно обхватывает пальцами свободной руки линию челюсти Эдди, притягивая ближе. Он поддается, а затем, почувствовав тонкие губы на своих, приоткрывает рот, позволяя Тозиеру вести. И черт возьми, это так приятно и необычно. Кончики пальцев у Эдди колет, и он невольно сжимает руку друга сильнее, а голова начинает кружиться от переизбытка эмоций. Ради такого он готов заболеть одновременно всеми возможными болезнями.
Они отрываются друг от друга через пару минут, и Ричи поворачивается к воде, улыбаясь. Его губы слегка покраснели и опухли, и это вызывает какие-то странные, совсем новые для обоих чувства. Эдди разжимает руку, но не отпускает ладонь друга из своей, наслаждаясь моментом.
— Ты умеешь целоваться.
— Ага.
— Засранец.
Эдди улыбается.
— Ага-а."
1	"Будь помягче
            "	https://ficbook.net/readfic/4267824	Nymphalidae	https://ficbook.net/authors/194364	"– Это несправедливо, – стонет Стайлз, утыкаясь с другого боку в надежде, что… Нет, так тоже не получается. Просто кошмар! – Мы должны расстаться, – вздыхает он.

Дерек фыркает. Но Стайлз знает, что имеет полное право так говорить из-за своего лица. Которое сейчас прижимается к ужасно твердой груди Дерека, потому что в каждом долбаном романтическом фильме пропагандируется эта долбаная посторгазменная поза. Долбанные голливудские клише!

– Мы не расстанемся, – говорит Дерек, поглаживая бедро Стайлза. Это приятно. На долгие пару секунд Стайлз забывает о своем онемевшем ухе и вывернутой под жутким углом шее. – Мы приложили слишком много сил, чтобы быть вместе.

Дерек, конечно, прав. И тем не менее!

– Что ж, мне очень больно это говорить, но в таком случае тебе придется что-то сделать со своим телом, – рассуждает Стайлз, игнорируя удивленное хмыканье Дерека. – Нарасти немного жира на свои бетонные мышцы, не знаю. Потому что вся эта красота годится только для любования, а я люблю обнимашки, Дерек, что в нашей ситуации чертовски…

Стайлз вскрикивает, когда Дерек внезапно переворачивает его на подушку, а сам спускается ниже, пока…

Да!

Стайлз поднимает руку и поглаживает Дерека – ладно, теперь он готов признать – по обалденно мускулистой спине. Дерек мычит от удовольствия, пристраивая голову у Стайлза под подбородком, и… просто не передать словами, как Стайлзу сейчас хорошо.

– Тоже вариант, – говорит тот, кайфуя от того, как Дерек практически растекается по нему.

А Дерек буквально мурлычет. Серьезно, Стайлз слышит этот звук, хотя представляет, как высоко взлетели бы брови Дерека, если бы он произнес это вслух.

Стайлз пристраивает лодыжку под коленом Дерека и зарывается пальцами ему в волосы.

– Слава богу. Я бы не пережил, если бы ты растолстел, – говорит он, за что тут же получает укус в ключицу.

"
2	"Замерзший кот по имени Феликс 
            "	https://ficbook.net/readfic/6565579	Horanii	https://ficbook.net/authors/1447425	"- Чего приперся? – сонно и явно недовольно бурчит Со, зарывшись носом в подушку. 

- Холодно, - мяукает Феликс, так же сонно, но без недовольства. Скорее с надеждой в словах и мыслях. 

      Ликс совершенно замерзший, чертовски сонный и такой домашний в этой растянутой футболке, открывающей вид на острые ключицы, растрепанный и с хрипотцой в голосе. В общежитии впервые было настолько холодно, что, казалось, прикоснись к стене – тут же отморозишь подушечки пальцев. 

- Я-то тут причем? – хоть Чанбин и сам замерз до такой степени, что не чувствовал ног, вредничал и колючки показывал, стараясь отпугнуть этого кота, - иди к себе и попробуй пристать к Минхо-хёну, - отвернувшись к стене лицом, заканчивает разговор. 

- Не хочу к Минхо-хёну, - произносит тихо-тихо, но Бин все равно слышит, - хочу к тебе, хён. С тобой тепло и лучше спится, - Ли старательно прячет лицо в охапку одеяла в руках, силясь скрыть горящие в темноте щеки. 

      От этих слов у Чанбина в груди щемит с такой силой, что хочется завыть громко и протяжно, прижать к себе этот комок грусти и преданности. И Со сдается, приглашающе приподнимает угол одеяла, куда Феликс тут же с радостью ныряет, наконец оказываясь в тепле. 

      Теперь-то Бина совесть за младшего почти не грызет, ведь вот он, рядом, лежит прямо напротив, так, что рэпер по привычке начинает рыжие веснушки считать, хотя их число уже наизусть знает. Вот только дрожать Феликс не прекращает, испуганно глаза отводит, прячет мордочку в одеяле, лишь бы не видеть этих бездонных черных глаз, в которых сейчас забота и нежность плещется. 

- Двигайся, Ликс, - произносит Со и тут же руками чужую талию обхватывает, когда Ли чуть с края на пол не падает, - да ко мне, а не от меня, идиот, - и крепко прижимает к себе, стараясь согреть и согреться самому. 

      А Феликс, кажется, дышать боится, но заставляет себя, через раз опаляя ключицы напротив горячим дыханием. Ему хочется на секунду стать наглым, забыть про то, что его хён нежности не любит, прикоснуться к светлой коже губами хотя бы на миг. Чанбин бубнит тихое «Спи, котенок» и сам кладет руки Ликса себе на талию, позволяя коснуться ребер под футболкой. 

Кажется, Феликсу стало слишком жарко. 
"
3	"""Это инцест!""
            "	https://ficbook.net/readfic/1882404	sakuramai	https://ficbook.net/authors/96002	"– Это инцест! – громко возмутился Минато Намикадзе. От крайне жесткого и хладнокровного упокоения Второго Хокаге его останавливали массивные оковы из Мокутона и иньекция лошадиной дозы успокоительного. Поэтому он орал намного тише и даже почти не рыпался. 

– В каком это месте, танцор диско? – с ухмылкой поинтересовался Тобирама Сенжу, скрестив руки на груди. – Наруко является правнучкой старшего брата Мито, и, следовательно, она не мой кровный потомок.

– Ничего не знаю! – с новой силой и громкостью забился Минато, как ведьмак на шабаше. Желтая Молния Конохи страшно выпучил глаза и заискрился чакрой молнии. Нидайме между тем мысленно заметил, что пора бы делать следующий укол, но, вот беда, препараты кончились...

– Намиказе, – твердо произнес Тобирама, глядя своему будущему тестю в глаза. –  Хочешь ты этого, или нет, но через неделю Наруко выходит за меня замуж.

– ЭТО ИНЦЕСТ! – пуще прежнего завопил и затрепыхался Минато. Он от злости и отчаяния сравнялся физиономией с цветом волос Теруми Мэй; бедолага, кончились все весомые аргументы, кон-чи-лись. 

– Это любовь! – с легкой улыбкой возразил Хаширама, сосредоточенно подавая чакру в Мокутон, держащий Четвертого. – К тому же, ты же хочешь, чтобы Нару-тян влезла в своё свадебное платье?

– Это ты к чему? – грозно сконфузился доблестный отец. Сенжу-старший не выдержал и хохотнул, сопоставив Намиказе с пафосным Покемоном. 

– Она беременна, дурень, – добродушно поделился новостью Бог Войны.

Тобирама даже моргнуть не успел. А брат оболтуса — вовремя отреагировать. Всё произошло так стремительно и быстро, как безвыходное положение из шести букв верхом на белой полярной лисе.
Побитого, подпаленного, нервного и слегка заикающегося жениха нашли патрульные в одной из многочисленных канавок. А с Хаширамой к тому моменту ещё не закончили. Слышались взрывы, звон битого стекла, пахло землёй и паленым, кто-то что-то визжал про Конституцию, пенсионный возраст, брак, ущемление прав человека и дискриминацию в целом. В ответ некто орал, хохотал и матерился. 

Разумеется, Наруко об этом знать не знала. 

"
4	"Шесть ртов
            "	https://ficbook.net/readfic/7202617	Антали	https://ficbook.net/authors/50754	"
Эдди и симбиот вместе два с половиной года.


Терпение Венома подходит к концу.

Сперва Эдди выпаивал выводок молоком, затем купал, затем держал на руках, а чертов выводок вместо того, чтобы сразу уснуть и дать родителям побыть вместе, забрался Эдди за пазуху и больше часа копошился там, пощипывая за соски, присасываясь, подражая человеческим детям. В чем совершенно не было никакой потребности. Эдди и так отлично ведется, считает ушлых крохотных симбиотов своим потомством и опекает соответственно. 
Опекает куда больше, чем в этом нуждается их вид. 


Закончив пытаться убаюкать, Эдди усаживает симбиотов в колыбель и Веном уже надеется, что Эдди отправится в постель, а там уж Веном разберется.... но вместо этого Эдди следует на кухню, разогревает смесь и ещё полчаса кормит шипящих и толкающихся в борьбе за ложку симбиотов.

Веном отсчитывает каждую ложку до опустошения тарелки.
Веном хочет....


Сожрав большую тарелку детской смеси, вкрай обнаглевшие симбиоты продолжают голодно шипеть. Веном устрашающе шипит на них по ментальной связи, приказывая немедленно заткнуться, но то ли Веном недостаточно страшен для себе подобных, то ли Венома просто не воспринимают всерьез, ошибочно считая главным в их связке человека. Потомство начинает шипеть ещё громче и требовательнее, и ответственный заботливый Эдди накидывает куртку и отправляется в супермаркет, чтобы купить ещё несколько коробок детской смеси.

Потом будет готовить, кормить, укладывать. А значит Веному ещё, по меньшей мере, два часа не светит. 
Веном ненавидит своё потомство. "
5	"The other 10 percent.
            "	https://ficbook.net/readfic/7049865	Muskrat Glomus	https://ficbook.net/authors/3019139	"• Что насчёт остальных 10 (или сколько там осталось) процентов?

✓ остальные 10% времени Нил все еще достаточно важен, чтобы не отпускать его, и Эндрю будет терпеть его идиотство столько, сколько потребуется.

9% он думает, что не сможет оправиться после смерти Нила, осознаёт, что потеря причинит ему боль.

7~8% он словно падает. для человека, боящегося высоты, это ужасно и пугающе.

чем сильнее Эндрю влюбляется в Нила, тем сильнее его ненавидит, потому что понимает: Нил - то единственное на земле, что способно его погубить, а он к этому не готов.

он просто пока не осознаёт, что уже не может это остановить.

° Ссылка на ответ: https://korakos.tumblr.com/post/126880800022/what-about-the-other-ten-or-whatever-percent-of"
6	"want to cherish your scent
            "	https://ficbook.net/readfic/9980338	Чайка_Лу	https://ficbook.net/authors/923348	"       Тэхён достаточно сонный, чтобы сомнамбулой простоять несколько остановок, даже не пытаясь сдерживать зевки. Но он недостаточно сонный, чтобы не почувствовать чужое дыхание на своей шее. Ладно, с кем не бывает. Кто-то толкнул, не удержался на ногах, и ткнулся носом в изгиб плеча впередистоящего. Но, чёрт возьми, вся их масса стоит на месте, лишь изредка покачиваясь, и чувак, замерший позади, нагло обнюхивает. Тэхён видит его отражение в окне поезда: довольно высокий; темноволосый; точно какой-нибудь панк, одетый во всё чёрное. Ким слегка поворачивает голову, скашивая взгляд, чтобы тут же увидеть округлую щёчку, острую линию челюсти, прямой, немного загнутый к низу нос, пушистую чёлку и трепещущие ресницы. Ноздри раздуваются, словно незнакомец усиленно втягивает в себя воздух, а губы растянуты в едва заметной улыбке. Тэхён находит его… Привлекательным. И, кажется, даже где-то его… Ах, точно! Это же Чон Чонгук собственной персоной! Капитан студенческой футбольной команды! Ну надо же…
      Углубившись в размышления, Тэхён не сразу понимает, что Чон испуганно пялится в ответ. И, Господи, у парня покраснели щёки. То есть, правда, покраснели! Как у какой-нибудь кисейной барышни.

— Хэй, — бормочет это недоразумение. — У тебя хороший одеколон.

       Тэхён забавляется из-за того, как чужие глаза бегают по его лицу, явно пытаясь считать эмоции. Ким не привык разочаровывать, поэтому широко улыбается, отвечая:
— Я не пользуюсь одеколоном, — заговорчески шепчет. — Может быть, тебе нравится запах моей пенки для бритья?

      Боже мой, Чонгук почему-то краснеет ещё гуще. Будто бы его словили с поличным, хотя Тэхён ничего такого не сказал. Между прочим, даже пытался помочь, развеять неловкость.

— М, — мычит Чон. — Она классная.

     Тэхён хмыкает, рассеяно кивнув, потому что поезд остановился, а двери начали разъезжаться по сторонам. Жаль, что они учатся в разных кампусах, иначе он бы точно ещё немного помучил вечно такого задиристого и высокомерного, а сейчас неимоверно смущенного и пылающего щеками Чон Чонгука.
     Ким выходит на перрон, невольно оборачиваясь назад, чтобы хоть ещё одним глазком посмотреть на парня. И буквально читает по его губам:
— Но ты ещё лучше.

      Ладно, теперь очередь Тэхёна смущаться и заливаться румянцем. "
7	"Вова, не умирай только
            "	https://ficbook.net/readfic/8803178	Жека83	https://ficbook.net/authors/3844511	"Малыш, ты же знаешь, что я не умею долго и хорошо писать. Поэтому тут будет совсем немного буковок.Я не могу больше молчать, когда тебе так плохо. Это не только обращение к тебе, но и к тем, кто мучает и проклинает тебя, когда ты умираешь.

Ты заболел из-за ужасного земельного вопроса и прочих передряг в стране. И теперь находишься между жизнью и смертью. Твое нежное сердечко может не выдержать, и мы тебя потеряем навсегда. Во многом ты убиваешь самого себя, пожираешь и мучаешь. За что ты так возненавидел себя, Вова? Ты сделал так мало плохого в сравнении с шоколадным чудовищем и всеми теми, кто развязал войну в моем родном краю.

Я виноват перед тобой. Виноват, что среди других уговаривал тебя идти на выборы. Ты такой хрупкий, нам надо было понять, что ты можешь сломаться. И ты надломился. Надеюсь, что это только временное состояние такое.

Пауки сплели вокруг тебя ядовитую паутину и опутали все вокруг. Когда я разрываю ее и оказываюсь рядом с тобой, ты плачешь у меня на плече и жалуешься, что стал совсем беспомощным и слабым. Что ты лишь игрушка в их руках.

Вова, все президенты марионетки в мировой политике. Кто-то больше, кто-то меньше. Ты знаешь, что хоть я и дурак и совсем не читаю книг, но даже я понимаю это.

Малыш, ты слишком уж много требуешь от себя. Еще можно все поправить. Обнови окружение. Убери тех, кто издевается над тобой. Тех, кто пытается тебя уничтожить. Тех, кто ненавидит и подставляет тебя. Ты лучше меня знаешь, кто это.

Хочу опять видеть твои сияющие глазки! Чтобы мой Вова был улыбчивый и довольный.
Прекрати уничтожать себя.

Я вспомню все молитвы, какие знаю. И буду молиться за твое драгоценное здоровье. Любовь моя, единственный и неповторимый навсегда. Не представляю без тебя своей жизни. Ты держись только, пожалуйста.

ЛЮБЛЮ ТЕБЯ ❤️"
8	"Валентинка на День Влюблённых 
            "	https://ficbook.net/readfic/9069277	Жека83	https://ficbook.net/authors/3844511	"Вов, привет! Я ТЕБЯ ЛЮБЛЮ❤️!

Котёнок, ты уехал на 14 февраля в Мюнхен, и я ужасно скучаю.
Ты же читал мое новое интервью? Хах!
Я сказал там, что только спьяну решил жениться на Ксюхе.
Жестоко? Но все ради нас💕.
Ни одна баба не сравнится с тобой 💘. Ты такой горячий и страстный!

А помнишь, Малыш, как ты назвал наших жен породистыми племенными коровами😆😆?
Смехота! Часики тикают, но ничего не меняется. Мы по-прежнему вместе, счастливы и
любим друг друга.

Я специально не иду в политику. Ну ты понял? Не хочу, чтобы она разбила нашу любовь.

Мечтаю опять скорее раздеть тебя и прижать мое голенькое счастье к своей груди.
Чтобы ты слышал, как гулко бьется мое сердце, принадлежащее только тебе!

Придет время, Вова, и ты вернешься ко мне навсегда!
И мы будем опять играть в Playstation!
У меня терпение железное, ты же знаешь… Я дождусь!

Я так счастлив, что «Богдан фсё!». И это самая приятная новость за неделю.
Теперь никто не будет давать тебе дурацкие советы и шептать в твое сладкое ухо
всякую муру!

Ты только мой!

ОБОЖНЮЮ ВАС, ПАН ПРЕЗИДЕНТ ❤️!

"
9	"Затяни потуже
            "	https://ficbook.net/readfic/4267813	Nymphalidae	https://ficbook.net/authors/194364	"Дерек впервые пожалел, что у него не было странички в фейсбуке. Потому что представшая перед ним картина была похожа на ту хрень, которую обычно постят в сети.

– Это… ох… не то, чем кажется, – выдохнул Стайлз.

Дерек демонстративно приподнял бровь.

– Я имею в виду, – Стайлз провел рукой вдоль тела, – что это просто… о-ох…

Эрика трагично вздохнула, словно против нее ополчился весь мир. И сильный рывок за шнуровку намекал, что она отвечала ему взаимностью. Стайлз вскрикнул и пошатнулся.

– Он помогает мне с подгонкой платья к выпускному, – закатила глаза Эрика, когда Стайлз застонал и схватился за край лифа. Потому что у этой штуки был лиф. И Дерек просто физически не мог отвести взгляд от полоски материала, который впивался Стайлзу в грудь.

– Точно, – прохрипел Стайлз, опустив руки и вцепившись в спинку дивана. Естественно, Дереку было прекрасно известно, что тот не мог отказать жестким просьбам Эрики. Но это не мешало ему представлять ситуацию, в которой Стайлз оделся бы в это совсем по другой причине. Черт. – Помогаю. Я помогаю.

Стайлз покраснел, и яркий румянец спустился на шею и голые плечи, внезапно отвлекая и выбивая Дерека из колеи, поэтому он смог заговорить лишь со второй попытки:

– Красный тебе не идет.

Ложь. Наглая ложь. Потому что бледная, гладкая, с россыпью родинок кожа Стайлза вызывала неуемное желание облизать ее. Черт! Контраст ярко-красного атласа и темно-кровавой шнуровки пробуждали в Дереке какие-то совершенно примитивные инстинкты, не имеющие никакого отношения к эстетическому любованию.

Дерек даже не сразу заметил ехидную улыбку Эрики, пока она снова не дернула за шнуровку, от чего Стайлз вздрогнул и выругался.

Черт.

– Не сломай ему ребра, – предупредил Дерек, направляясь к лестнице. Воздух. Ему срочно нужно на воздух.

Потому что у Дерека было такое чувство, словно это его запихнули в корсет. "
